ssr_weight,production_per_person_weight,spearman_country_rank_vs_50_50,margin_min_category1_minus_max_category2,margin_min_category2_minus_max_category3,margin_min_flexible1_minus_max_category3,margin_min_category1_minus_max_flexible2,all_category_constraints_pass
0.0,1.0,0.9109627664153365,-0.051724137931034475,-0.4827586206896552,0.27586206896551724,-0.06896551724137934,False
0.01,0.99,0.9120035655499908,-0.049827586206896535,-0.48310344827586205,0.27724137931034487,-0.06775862068965521,False
0.02,0.98,0.9120035655499908,-0.047931034482758594,-0.48344827586206907,0.2786206896551723,-0.06655172413793098,False
0.03,0.97,0.9120035655499908,-0.046034482758620654,-0.48379310344827586,0.2799999999999999,-0.06534482758620674,False
0.04,0.96,0.9120035655499908,-0.044137931034482936,-0.48413793103448277,0.28137931034482766,-0.06413793103448295,False
0.05,0.95,0.9120035655499908,-0.042241379310344884,-0.4844827586206896,0.2827586206896552,-0.06293103448275872,False
0.06,0.94,0.9120035655499908,-0.040344827586206944,-0.4848275862068965,0.2841379310344828,-0.061724137931034484,False
0.07,0.9299999999999999,0.9120035655499908,-0.038448275862069003,-0.48517241379310344,0.28551724137931034,-0.06051724137931036,False
0.08,0.92,0.9133385305154214,-0.03655172413793106,-0.4855172413793104,0.28689655172413786,-0.059310344827586126,False
0.09,0.91,0.9133385305154214,-0.03465517241379312,-0.4858620689655173,0.2882758620689655,-0.05810344827586211,False
0.1,0.9,0.9243435692033825,-0.03275862068965518,-0.4862068965517241,0.2896551724137931,-0.05689655172413788,False
0.11,0.89,0.9320280400314495,-0.030862068965517242,-0.48655172413793113,0.29103448275862054,-0.055689655172413755,False
0.12,0.88,0.9329180166750699,-0.0289655172413793,-0.486896551724138,0.29241379310344817,-0.05448275862068974,False
0.13,0.87,0.9329180166750699,-0.027068965517241583,-0.48724137931034484,0.2937931034482759,-0.05327586206896573,False
0.14,0.86,0.9329180166750699,-0.02517241379310331,-0.4875862068965518,0.29517241379310344,-0.05206896551724127,False
0.15,0.85,0.9329180166750699,-0.02327586206896559,-0.48793103448275865,0.29655172413793096,-0.05086206896551726,False
0.16,0.84,0.9329180166750699,-0.02137931034482765,-0.48827586206896556,0.2979310344827586,-0.04965517241379325,False
0.17,0.83,0.9355879466059311,-0.0194827586206896,-0.4886206896551724,0.2993103448275862,-0.0484482758620689,False
0.18,0.8200000000000001,0.9373678998931719,-0.01758620689655166,-0.4889655172413794,0.30068965517241375,-0.04724137931034478,False
0.19,0.81,0.9395928415022229,-0.01568965517241383,-0.48931034482758634,0.3020689655172414,-0.046034482758620654,False
0.2,0.8,0.942485265593989,-0.01379310344827589,-0.4896551724137932,0.303448275862069,-0.04482758620689653,False
0.21,0.79,0.942485265593989,-0.01189655172413795,-0.49000000000000005,0.30482758620689654,-0.04275862068965519,False
0.22,0.78,0.9487151020993317,-0.010000000000000009,-0.4903448275862069,0.3062068965517242,-0.042068965517241375,False
0.23,0.77,0.949382584582047,-0.008103448275861957,-0.4906896551724139,0.3075862068965517,-0.04241379310344828,False
0.24,0.76,0.9524975028347183,-0.006206896551724239,-0.4910344827586207,0.3089655172413792,-0.0427586206896553,False
0.25,0.75,0.9540447371847287,-0.004310344827586299,-0.4913793103448276,0.31034482758620685,-0.04310344827586221,False
0.26,0.74,0.9618422575927323,-0.0024137931034482474,-0.4917241379310345,0.3110344827586208,-0.0434482758620689,False
0.27,0.73,0.965402164167214,-0.000517241379310418,-0.49206896551724144,0.3117241379310344,-0.043793103448275916,False
0.28,0.72,0.9662921408108345,0.0013793103448275223,-0.4924137931034483,0.3124137931034483,-0.044137931034482825,False
0.29,0.71,0.9674046116153598,0.0032758620689654627,-0.49275862068965515,0.313103448275862,-0.04448275862068973,False
0.3,0.7,0.9682945882589802,0.005172413793103514,-0.49310344827586206,0.3137931034482758,-0.04482758620689653,False
0.31,0.69,0.9718544948334619,0.0070689655172412325,-0.493448275862069,0.31448275862068953,-0.04517241379310355,False
0.32,0.6799999999999999,0.9761904761904764,0.008965517241379173,-0.49379310344827587,0.31517241379310335,-0.04551724137931057,False
0.33,0.6699999999999999,0.9776393430169944,0.010862068965517224,-0.4941379310344827,0.3158620689655173,-0.045862068965517255,False
0.34,0.6599999999999999,0.9785293196606148,0.013103448275861962,-0.4944827586206897,0.3168965517241379,-0.046206896551724164,False
0.35,0.65,0.9798642846260454,0.01551724137931021,-0.49482758620689654,0.3181034482758621,-0.04655172413793107,False
0.36,0.64,0.9825342145569064,0.017931034482758568,-0.4951724137931035,0.31931034482758613,-0.04689655172413798,False
0.37,0.63,0.9825342145569064,0.020344827586206926,-0.4955172413793104,0.32051724137931026,-0.04724137931034489,False
