iso3,country,year,legacy_category,capacity_v2_rank_50_50,capacity_v2_rank_legacy_56_44,capacity_v2_minmax_50_50,ssr_percentile_rank,production_per_person_percentile_rank,arable_land_hectares_per_person,electricity_access_pct,female_agricultural_employment_pct,fertilizer_consumption_kg_per_hectare_arable_land,rural_population_growth_pct,rural_population_pct
ARG,Argentina,2010,category_1,0.982758620689655,0.984787018255578,0.933574370569179,1,0.96551724137931,0.92042388165632,98.8,4.09286259978896,39.1580160565849,-0.836371199274107,9.00699480590229
ARG,Argentina,2011,category_1,0.982758620689655,0.984787018255578,0.977564401947837,1,0.96551724137931,0.925614404373188,99,4.1004172714728,41.884276338783,-0.211551189460391,8.89277132615941
ARG,Argentina,2012,category_1,0.96551724137931,0.969574036511156,0.923629649007622,1,0.931034482758621,0.939783743647466,99.1,3.99424220700286,34.6406749632157,-0.0678751414628083,8.79587827532031
ARG,Argentina,2013,category_1,0.982758620689655,0.984787018255578,0.94193564791769,1,0.96551724137931,0.925059393592972,99.3,3.88455415010314,36.2523450609652,-0.119742882821164,8.6985492280527
ARG,Argentina,2014,category_1,0.982758620689655,0.984787018255578,0.964265099191366,1,0.96551724137931,0.905942306110456,100,3.84287481713665,35.3963480321961,-0.078998684357848,8.60246545270461
ARG,Argentina,2015,category_1,0.96551724137931,0.96551724137931,0.947855271416603,0.96551724137931,0.96551724137931,0.928151056010933,99.7,3.73570176225836,26.4972067443634,-0.0604862921588565,8.50769808913719
ARG,Argentina,2016,category_1,1,1,1,1,1,0.911922416134026,99.9,3.6553651699508,40.2733403508413,-0.134752661641149,8.4143182771783
ARG,Argentina,2017,category_1,1,1,1,1,1,0.911639073669349,100,3.56278572067775,41.0757900889976,-0.217187248728344,8.3223971566176
ARG,Argentina,2018,category_1,1,1,1,1,1,0.899812029511129,100,3.53063690824815,47.0590826510042,-0.269088634339557,8.2320058672002
ARG,Argentina,2019,category_1,1,1,1,1,1,0.908313379900793,100,3.46962065024176,50.8184088127295,-0.373575764592926,8.14321554861981
ARG,Argentina,2020,category_1,1,1,1,1,1,0.927819801595261,100,4.20227948109119,55.2629859289292,-0.590909970072964,8.05609734051031
ARG,Argentina,2021,category_1,1,1,1,1,1,0.931954849061781,100,4.09614704789845,62.1493760212176,-0.799543723729226,7.9707223824349
BGD,Bangladesh,2010,category_3,0.568965517241379,0.56288032454361,0.238980981028592,0.517241379310345,0.620689655172414,0.0524040485386324,55.3,55.6120024273705,208.024322968907,0.304918863873485,72.2745627411304
BGD,Bangladesh,2011,category_3,0.586206896551724,0.582150101419878,0.263883240801489,0.551724137931034,0.620689655172414,0.0511943805901848,59.6,54.9058896995024,249.746915935394,0.374997406595853,71.8899837287573
BGD,Bangladesh,2012,category_3,0.603448275862069,0.601419878296146,0.210047773259447,0.586206896551724,0.620689655172414,0.0506545101173307,65.5,54.148549106632,254.30935709739,0.444055297291041,71.5212027105424
BGD,Bangladesh,2013,category_3,0.586206896551724,0.582150101419878,0.270291808167691,0.551724137931034,0.620689655172414,0.0493061677345869,61.5,53.4719417454072,253.280642653537,0.431111247252731,71.1592963893237
BGD,Bangladesh,2014,category_3,0.551724137931034,0.547667342799189,0.330349374820248,0.517241379310345,0.586206896551724,0.0487386665428755,62.4,56.9949193825216,278.132224964281,0.412817358333084,70.8055557678987
BGD,Bangladesh,2015,category_3,0.551724137931034,0.547667342799189,0.318916655883689,0.517241379310345,0.586206896551724,0.0487017516446952,74,60.122727553489,297.810941171621,0.405285200715263,70.4604900522108
BGD,Bangladesh,2016,category_3,0.586206896551724,0.582150101419878,0.216407943204369,0.551724137931034,0.620689655172414,0.048467858715857,75.9,63.0872996124255,288.288357639838,0.41459793675303,70.1246084482035
BGD,Bangladesh,2017,category_3,0.517241379310345,0.509127789046653,0.240487227679994,0.448275862068966,0.586206896551724,0.0480147666372517,88,59.5151817550646,302.542720033696,0.38467627146513,69.7984201618201
BGD,Bangladesh,2018,category_3,0.586206896551724,0.582150101419878,0.257962257986166,0.551724137931034,0.620689655172414,0.047530286897748,86.9,61.5288557574441,318.46686309072,0.367215933958982,69.4824343990041
BGD,Bangladesh,2019,category_3,0.568965517241379,0.566937119675456,0.229521113872616,0.551724137931034,0.586206896551724,0.0476432869429288,92.2,63.2701670899894,320.445462644775,0.406089214234573,69.1771603656988
BGD,Bangladesh,2020,category_3,0.568965517241379,0.56288032454361,0.230379626049536,0.517241379310345,0.620689655172414,0.0474449413782571,96.2,66.5239843670587,325.386565272497,0.410331672789013,68.8831072678476
BGD,Bangladesh,2021,category_3,0.517241379310345,0.505070993914807,0.210269242169475,0.413793103448276,0.620689655172414,0.0469650114630988,99,69.318337483757,395.72014579444,0.404278116607436,68.6007843113939
BRA,Brazil,2010,category_1,0.706896551724138,0.708924949290061,0.282970550722028,0.724137931034483,0.689655172413793,0.265381972525426,98.6,5.50304848188389,202.796751288785,-0.894139275464851,15.656153963692
BRA,Brazil,2011,category_1,0.724137931034483,0.728194726166329,0.320133360388501,0.758620689655172,0.689655172413793,0.266416114226317,99.3,5.03953674291407,251.427316585619,-0.982544298396256,15.3774241400317
BRA,Brazil,2012,category_1,0.741379310344828,0.743407707910751,0.283707659767551,0.758620689655172,0.724137931034483,0.267427062290965,99.5,5.05936651828426,230.132478632479,-0.991675272921636,15.1026125818688
BRA,Brazil,2013,category_1,0.793103448275862,0.801217038539554,0.395807368327177,0.862068965517241,0.724137931034483,0.268402139016719,99.6,5.11106407879791,265.567784201832,-0.995259127392672,14.8323414557274
BRA,Brazil,2014,category_1,0.775862068965517,0.781947261663286,0.456584902798061,0.827586206896552,0.724137931034483,0.269360350807084,99.7,4.69342764525696,285.060525095092,-0.999757307752816,14.5668632101832
BRA,Brazil,2015,category_1,0.810344827586207,0.816430020283976,0.507546027727933,0.862068965517241,0.758620689655172,0.270325306492807,99.7,4.5985625370515,234.965094097362,-1.01230036917971,14.3064302938119
BRA,Brazil,2016,category_1,0.724137931034483,0.732251521298174,0.284134152571111,0.793103448275862,0.655172413793103,0.271334079992495,99.7,4.58172287612681,240.181955023576,-1.0374793187564,14.0512951551892
BRA,Brazil,2017,category_1,0.844827586206897,0.842799188640974,0.401335164162705,0.827586206896552,0.862068965517241,0.272403818118449,99.8,4.16335745134554,275.933897636383,-1.06396033198931,13.8017102428909
BRA,Brazil,2018,category_1,0.775862068965517,0.77789046653144,0.374968423442916,0.793103448275862,0.758620689655172,0.270432005789452,99.7,4.07539456703253,293.991298575478,-1.09866407996527,13.5579280054928
